StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label
2011/08/15 16:43:28.078942,0.000000,tcp,114.33.245.44,6881,   ?>,147.32.84.118,1567,RA_,0,0,1,60,60,flow=Background
2011/08/15 16:43:32.283576,13.431962,tcp,212.93.105.52,49237,   ->,147.32.84.229,80,SRA_SA,0,0,6,388,208,flow=Background-TCP-Established
2011/08/15 16:43:32.456441,13.350228,tcp,212.93.105.52,14906,   ->,147.32.84.229,13363,SRA_SA,0,0,6,388,208,flow=Background-TCP-Established
2011/08/15 16:43:32.850648,13.010090,tcp,212.93.105.52,60349,   ->,147.32.84.229,443,SRA_SA,0,0,6,388,208,flow=Background-TCP-Established
2011/08/15 16:45:09.305002,20.990047,tcp,115.127.24.116,3198,   ->,147.32.84.229,443,SR_SA,0,0,5,308,122,flow=Background-TCP-Established
2011/08/15 16:45:27.991372,12.542819,tcp,115.127.24.116,3196,   ->,147.32.84.229,13363,SR_SA,0,0,5,308,122,flow=Background-TCP-Established
2011/08/15 16:45:30.295050,13.308726,tcp,115.127.24.116,3198,   ->,147.32.84.229,443,SR_SA,0,0,5,308,122,flow=Background-TCP-Established
2011/08/15 16:45:57.756664,1.413248,tcp,77.52.60.161,3767,   ->,147.32.84.118,6881,S_RA,0,0,4,244,124,flow=Background-TCP-Attempt
2011/08/15 16:47:50.502720,5.147244,tcp,77.52.60.161,3823,   ->,147.32.84.118,6881,S_RA,0,0,4,244,124,flow=Background-TCP-Attempt
2011/08/15 16:47:53.430662,3.001157,tcp,147.32.84.59,52956,   ->,77.75.72.72,80,SR_A,0,0,3,186,126,flow=Background-Established-cmpgw-CVUT
2011/08/15 16:49:35.840430,6.603677,tcp,148.100.181.73,50950,   ->,147.32.84.118,6881,S_RA,0,0,4,252,132,flow=Background-TCP-Attempt
2011/08/15 16:50:08.824635,1.385300,tcp,77.52.60.161,3895,   ->,147.32.84.118,6881,S_RA,0,0,4,244,124,flow=Background-TCP-Attempt
2011/08/15 16:50:07.719410,2.867043,tcp,41.102.134.171,3215,   ->,147.32.84.229,13363,SR_SA,0,0,3,184,122,flow=Background-TCP-Established
2011/08/15 16:50:09.325122,2.967635,tcp,41.102.134.171,3218,   ->,147.32.84.229,443,SR_SA,0,0,3,184,122,flow=Background-TCP-Established
2011/08/15 16:50:10.927382,2.973128,tcp,41.102.134.171,3220,   ->,147.32.84.229,80,SR_SA,0,0,3,184,122,flow=Background-TCP-Established
2011/08/15 16:50:10.586453,6.135476,tcp,41.102.134.171,3215,   ->,147.32.84.229,13363,SR_SA,0,0,3,184,122,flow=Background-TCP-Established
2011/08/15 16:50:12.292757,6.035348,tcp,41.102.134.171,3218,   ->,147.32.84.229,443,SR_SA,0,0,3,184,122,flow=Background-TCP-Established
2011/08/15 16:50:13.900510,6.033936,tcp,41.102.134.171,3220,   ->,147.32.84.229,80,SR_SA,0,0,3,184,122,flow=Background-TCP-Established
2011/08/15 16:51:56.205098,11.069827,tcp,115.127.24.116,3436,   ->,147.32.84.229,443,SR_SA,0,0,5,308,122,flow=Background-TCP-Established
2011/08/15 16:51:57.676975,10.752169,tcp,115.127.24.116,3439,   ->,147.32.84.229,80,SR_SA,0,0,5,308,122,flow=Background-TCP-Established
2011/08/15 16:52:04.205268,20.540148,tcp,115.127.24.116,3433,   ->,147.32.84.229,13363,SR_SA,0,0,5,308,122,flow=Background-TCP-Established
2011/08/15 16:52:24.745416,50.421291,tcp,115.127.24.116,3433,   ->,147.32.84.229,13363,SR_SA,0,0,5,308,122,flow=Background-TCP-Established
2011/08/15 16:54:06.841509,6.612449,tcp,148.100.181.73,51068,   ->,147.32.84.118,6881,S_RA,0,0,4,252,132,flow=Background-TCP-Attempt
2011/08/15 16:55:53.281085,8.045721,tcp,213.87.131.183,5119,   ->,147.32.84.118,6881,S_RA,0,0,4,252,132,flow=Background-TCP-Attempt
